datetime,headline,url,teaser,feed_name,feed_url
"July 18, 2017 at 03:41PM",9-year-old boy wants to thank every cop in the U.S. with doughnuts,http://abc7ny.com/news/donut-boy-wants-to-thank-every-cop-in-the-us/2229989/,"Tyler Carach, a 9-year-old boy from Florida, wants to show his appreciation to all the cops in the U.S. by buying them a donut.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 03:55PM",10-year-old boy critical after being struck by boat propeller on Long Island,http://abc7ny.com/news/10-year-old-boy-critical-after-being-struck-by-boat-propeller-on-long-island/2230331/,The Coast Guard confirms the boy was wounded in Northport Harbor at the Centerport Yacht Club around 2:30 p.m.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:02PM",10-year-old boy critical after Long Island boating accident,http://abc7ny.com/news/10-year-old-boy-critical-after-long-island-boating-accident/2230331/,A 10-year-old boy was critically injured when he was struck by a boat propeller or vessel in the waters off Long Island Tuesday.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:38PM",American Airlines mechanic marks record-breaking 75 years with company,http://abc7ny.com/society/airline-mechanic-marks-record-breaking-75-years-with-company/2230418/,"Al Blackman has been working for American since he was 16 years old and graduated high school, but don't call the bash at John F. Kennedy International Airport Tuesday a retirement party.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:40PM",12-year-old girl pulled from surf in Sandy Hook dies,http://abc7ny.com/news/12-year-old-girl-pulled-from-surf-in-sandy-hook-dies/2226629/,"Daphne Yun, a spokeswoman for Gateway National Recreation Area and the National Parks Service, says the 12-year-old was with her family when she got into trouble in the ocean off Beach E just before 6 p.m. Sunday.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:51PM","Exclusive: Daughter talks about mother found dead, tied up in Brooklyn apartment",http://abc7ny.com/news/exclusive-daughter-talks-about-mother-found-dead-tied-up-in-brooklyn/2228821/,"In an exclusive interview, the victim's daughter walked Eyewitness News through what would end up being Noreen Mulzac's final days alive.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:54PM",Watch '50PlusPrime' - only on ABC7,http://abc7ny.com/society/watch-50plusprime-only-on-abc7/1670418/,"50PlusPrime is an upbeat, feel-good program telling the stories of baby boomers making a difference in their communities",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 04:55PM",10-year-old boy dies in Long Island boating accident,http://abc7ny.com/news/10-year-old-boy-dies-in-long-island-boating-accident/2230331/,"The incident happened in Northport Harbor at the Centerport Yacht Club around 3 p.m., while the victim was taking a sailing lesson with other students.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:02PM",Filmmaker Al Maysles lives on in younger generation at Harlem cinema,http://abc7ny.com/entertainment/harlem-cinema-teaches-new-generation-of-filmmakers-/2229553/,"The Maysles Documentary Center is designed to be a focal point for film above 125th Street in Harlem, where a younger generation of filmmakers are being trained to make documentaries using new technology that's bringing film-making within reach for almost anyone.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:10PM",The Trend: The world remembers Nelson Mandela,http://abc7ny.com/entertainment/the-trend-the-world-remembers-nelson-mandela/2230548/,"David Novarro has ""The Trend"" for Tuesday, July 18, 2017.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:16PM",Iowa newborn dies after developing meningitis from herpes virus,http://abc7ny.com/news/newborn-dies-after-developing-meningitis-from-herpes-virus/2230538/,"A newborn in Iowa died after contracting meningitis, and her parents think she may have gotten it from something as a simple as a kiss from a visitor.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:27PM",Crew shortages being blamed for canceled NJ Transit trains,http://abc7ny.com/traffic/crew-shortages-being-blamed-for-canceled-nj-transit-trains/2228852/,"Due to a lack of locomotive engineers, New Jersey Transit had to cancel some service on on the North Jersey Coastline and the Northeast Corridor.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:39PM",President Trump blasts Congress over failure of GOP health care bill,http://abc7ny.com/politics/trump-blasts-congress-over-failure-of-gop-health-care-bill/2228979/,"President Donald Trump blasted congressional Democrats and ""a few Republicans"" Tuesday over the collapse of the GOP effort to rewrite the Obama health care law.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:42PM","Saudi Arabia woman arrested for wearing miniskirt, sparking public outcry",http://abc7ny.com/news/saudi-woman-arrested-for-wearing-miniskirt-sparking-public-outcry/2230423/,"The woman, whose name was not given, was detained by police in the capital, Riyadh, for wearing ""immodest clothes"" that contradicted the country's conservative Islamic dress code, state media reported Tuesday.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 05:56PM",MTA considers food education program to help prevent track fires,http://abc7ny.com/traffic/mta-considers-food-education-program-to-help-prevent-track-fires/2230706/,MTA chairman Joe Lhota is vowing to step up the agency's efforts to prevent fires on subway tracks after commuters were treated to a nightmarish commute Monday thanks to trash that caught on fire in Harlem.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 06:00PM",Walmart releases fruit punch-flavored pickles,http://abc7ny.com/food/walmart-is-selling-fruit-punch-pickles/2229727/,"Walmart is selling""Tropickles,"" a summer release featuring cucumber pickles floating in a jar of red fruit punch.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 06:01PM",Man uses his bare hands to save shark's life on Jersey Shore,http://abc7ny.com/pets/man-uses-his-bare-hands-to-save-sharks-life-/2230703/,Commotion erupted at Beach Haven on Sunday afternoon as a lifeguard spotted something heading toward a shoreline that was packed with people.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 06:38PM",NYPD Det. Miosotis Familia's family speaks out about their loss after her murder,http://abc7ny.com/news/nypd-det-miosotis-familias-family-speaks-out-about-their-loss/2230840/,Familia was murdered on July 5th by a mentally ill career criminal as she sat in a mobile police unit in the Bronx.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 06:49PM",Harlem track fire snarls commute on multiple subway lines,http://abc7ny.com/news/harlem-track-fire-snarls-commute-on-multiple-subway-lines/2225844/,Commuters across multiple subway lines had to deal with a nightmarish morning commute Monday after a track fire south of the 145th Street Station in Harlem snarled service.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 06:58PM",What's made in your state? White House hosts Made in America Showcase,http://abc7ny.com/politics/white-house-hosts-made-in-america-showcase/2230831/,Products from all 50 states were presented at the White House's Made in America Showcase.,abc7ny.com RSS Feed,http://abc7ny.com/feed
